win_start,q,count_observed,count_formula,ok_flag
1441,39,6,6,1
1441,37,6,6,1
1441,38,6,6,1
1441,34,6,6,1
1441,35,6,6,1
1441,32,6,6,1
1441,36,6,6,1
1441,50,5,5,1
1441,44,5,5,1
1441,26,5,5,1
1441,47,5,5,1
1441,43,5,5,1
1441,42,5,5,1
1441,46,5,5,1
1441,41,5,5,1
1441,40,5,5,1
1441,69,4,4,1
1441,63,4,4,1
1441,58,4,4,1
1441,66,4,4,1
1441,56,4,4,1
1441,52,4,4,1
1441,54,4,4,1
1441,61,4,4,1
1441,49,4,4,1
1441,59,4,4,1
1441,51,4,4,1
1441,57,4,4,1
1441,53,4,4,1
1441,55,4,4,1
1441,45,4,4,1
1441,48,4,4,1
1441,103,3,3,1
1441,76,3,3,1
1441,85,3,3,1
1441,25,3,3,1
1441,97,3,3,1
1441,91,3,3,1
1441,81,3,3,1
1441,73,3,3,1
1441,86,3,3,1
1441,77,3,3,1
1441,70,3,3,1
1441,92,3,3,1
1501,29,8,8,1
1501,32,7,7,1
1501,35,7,7,1
1501,28,7,7,1
1501,33,7,7,1
1501,31,7,7,1
1501,30,7,7,1
1501,43,6,6,1
1501,36,6,6,1
1501,37,6,6,1
1501,40,6,6,1
1501,38,6,6,1
1501,39,6,6,1
1501,34,6,6,1
1501,47,5,5,1
1501,52,5,5,1
1501,42,5,5,1
1501,27,5,5,1
1501,41,5,5,1
1501,46,5,5,1
1501,49,5,5,1
1501,45,5,5,1
1501,44,5,5,1
1501,58,4,4,1
1501,63,4,4,1
1501,56,4,4,1
1501,54,4,4,1
1501,66,4,4,1
1501,61,4,4,1
1501,51,4,4,1
1501,59,4,4,1
1501,48,4,4,1
1501,53,4,4,1
1501,57,4,4,1
1501,55,4,4,1
1501,50,4,4,1
1501,79,3,3,1
1501,94,3,3,1
1501,26,3,3,1
1501,84,3,3,1
1501,72,3,3,1
1501,89,3,3,1
1501,101,3,3,1
1501,69,3,3,1
1501,95,3,3,1
1501,80,3,3,1
1501,76,3,3,1
1501,90,3,3,1
1501,85,3,3,1
1501,73,3,3,1
1561,34,7,7,1
1561,29,7,7,1
1561,32,7,7,1
1561,31,7,7,1
1561,30,7,7,1
1561,35,6,6,1
1561,36,6,6,1
1561,33,6,6,1
1561,37,6,6,1
1561,46,5,5,1
1561,49,5,5,1
1561,28,5,5,1
1561,45,5,5,1
1561,48,5,5,1
1561,44,5,5,1
1561,43,5,5,1
1561,42,5,5,1
1561,38,5,5,1
1561,41,5,5,1
1561,39,5,5,1
1561,40,5,5,1
1561,71,4,4,1
1561,68,4,4,1
1561,58,4,4,1
1561,54,4,4,1
1561,56,4,4,1
1561,63,4,4,1
1561,51,4,4,1
1561,61,4,4,1
1561,53,4,4,1
1561,59,4,4,1
